"OPDIV","CFDA Number","CFDA Program Title","Award Number","Award Title","Action Date","Recipient Name","City","Approp Code","Award Amount","Country_code_2","Country","Type","Class"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000891","Influenza surveillance","9/15/2020","MOH Moldova c/o Ctr Health Policies&Studies PAS Ctr","CHISINAU, REPUBLIC OF MOLDOVA","CV",50000,"MD","Moldova","Health Department","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002147","AFYA KWANZA Project for Provision of Comprehensive HIV Prevention, Care, Treatment, and Support services in the United Republic of Tanzania","9/15/2020","Management and Development for Health","DAR ES SALAAM","CV",0,"TZ","Tanzania","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000892","Attached summary","9/15/2020","Patan Academy of Health Sciences","LALITPUR","CV",40000,"NP","Nepal","Health Department","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000890","The title of the project is ""Avian and pandemic influenza preparedness and response"".","9/15/2020","Ministry of Health, C/O Dept of Public Accounts, MoF","THIMPHU","CV",29680,"BT","Bhutan","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000896","Maintenance of Basic Surveillance System Implementation Activities and Response to Avian, Pandemic and Seasonal Influenza in Southeast European Countries","9/15/2020","SECID Foundation","TIRANA","CV",250000,"AL","Albania","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000897","Strengthening the surveillance system of influenza in Tunisia: Phase 2, bridging building capacities and sustainability","9/15/2020","INSTITUT PASTEUR DE TUNIS","TUNIS","CV",50000,"TN","Tunisia","Research Institution, Foundation and Laboratory","Foreign Non-Profit Organization"
"CDC",93.283,"Centers for Disease Control and Prevention Investigations and Technical Assistance","NU2HGH000082","Technical Collaboration to Strengthen and Expand Capacity to Assess, Prevent, and Mitigate the Effects of Public Health Threats of National and Global Importance with the Ministry of Health in Lao PDR","9/15/2020","MINISTRY OF HEALTH","Vientiane","CV",1901153,"LA","Laos","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH001632","BUILDING CAPACITY FOR A SUSTAINABLE, COUNTRY-LED RESPONSE TO THE HIV/AIDS EPIDEMIC IN GUYANA: A TECHNICAL ASSISTANCE SUPPORT MODEL TO THE GUYANA MINISTRY OF HEALTH (MOH) UNDER  PEPFAR","9/14/2020","Ministry of Health","GEORGETOWN","CV",0,"GY","Guyana","Health Department","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000871","IP16-1605, Maintenance of Influenza Surveillance Capacity by National Health Authorities Outside the United States","9/12/2020","Ministere de la Sante et de L Hygiene Publique","COTE D`IVOIRE","CV",2e+05,"CI","Ivory Coast","Health Department","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000852","IP16-1605, Supplemental Funding Opportunity Announcement for Maintenance of Influenza Surveillance Capacity by National Health Authorities Outside the United States","9/12/2020","IEDCR MINISTRY OF HEALTH AND FAMILY WELFARE BANGLADESH","DHAKA","CV",50000,"BD","Bangladesh","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000857","Maintenance of Influenza Surveillance Capacity by National Health Authorities Outside the United States. - 2016","9/12/2020","World Health Org DBA Ministry of Health, Afghanistan","KABUL","CV",50000,"AF","Afghanistan","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000855","IP16-1605, Maintenance of Influenza Surveillance Capacity by National Health Authorities in Ukraine.","9/12/2020","Ukraine Institute of Epidemiology","KYYIV","CV",30000,"UA","Ukraine","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000851","Maintenance of Influenza Surveillance Capacity by National Health Authorities Outside the United States.","9/12/2020","FIOTEC","RIO DE JANEIRO","CV",150000,"BR","Brazil","Research Institution, Foundation and Laboratory","Foreign Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000854","Maintenance of Influenza Surveillance Capacity in Russia","9/12/2020","FGBU NII GRIPPA MINZDRAVA","ST. PETERSBURG","CV",1e+05,"RU","Russia","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000853","MAINTENANCE OF INFLUENZA SURVEILLANCE CAPACITY BY NATIONAL HEALTH AUTHORITIES OUTSIDE THE UNITED STATES","9/12/2020","L.SAKVARELIDZE NATL CTR FOR DISEASE CNTRL & PUBLIC HLTH","TBILISI","CV",50000,"GE","Georgia","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000859","Maintenance of Influenza Surveillance Capacity by National Health Authorities Outside the United States. - 2016","9/12/2020","Ministry of Health, Mongolia","ULAANBAATAR","CV",1e+05,"MN","Mongolia","Health Department","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000861","IP16-1605, Maintenance of Influenza Surveillance Capacity By National Health Authorities Outside The United States","9/12/2020","Ministry of Health LAOS","VIENTIANE","CV",295127,"LA","Laos","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000856","IP16-1605, Maintenance of Influenza Surveillance Capacity by National Health Authorities Outside the United States","9/12/2020","National Center for Disease Control and Prevention","YEREVAN","CV",50000,"AM","Armenia","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000882","IP16-1603, Improve capacity to conduct routine influenza surveillance and detect and respond to avian and pandemic influenza","9/11/2020","INSTITUT NATIONAL D`HYGIENE INH","LOME","CV",50000,"GH","Ghana","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000883","IP16-1603, Strengthening Capacities for Surveillance and Response to Avian and Pandemic Influenza in Bosnia and Herzegovina.","9/11/2020","Ministry of Finance and Treasury of Bosnia and Herzegov","SARAJEVO","CV",30000,"BA","British Honduras","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000884","Surveillance and Response to Avian and Pandemic Influenza by National Health Authorities Outside the United States - 2016","9/11/2020","JZU Institut za Javno Zdravjena RM Skopje","SKOPJE","CV",49970,"MK","Macedonia","Research Institution, Foundation and Laboratory","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002203","This projects aims at implementing Technical and Science Support Services (TSSS) in the Republic of Rwanda under PEPFAR whereby HIV, Laboratory and strategic information activities will be implemented","9/10/2020","Treatment & Research AIDS Center","KIGALI","CV",0,"RW","Rwanda, Republic of","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH001919","Supporting the National School of Public Health (SPH) to Strengthen Human Resources for Health (HRH","9/10/2020","National School of Public Health","LUANDA","CV",0,"AO","Angola","Other Educational Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH002021","GH17-1723 Strengthening the National Institutes of Health in the Republic of Mozambique under the President's Emergency Plan for AIDS Relief (PEPFAR)","9/10/2020","National Institute of Health, Mozambique","MAPUTO","CV",0,"MZ","Mozambique","Health Department","State Government"
"CDC",93.067,"Global AIDS","NU2GGH001643","GH15-1527:  Strengthening and Enhancing National HIV/AIDS Prevention, Diagnosis, Care,Treatment, Monitoring &Surveillance of Communicable & Non-communicable Diseases","9/10/2020","Ministry of Health Haiti","PORT AU PRINCE","CV",0,"HT","Haiti","Other Special Interest Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000064","Building Capacity for National Public Health Institutes Regionally through Colombia National Institute of Health (INS)","9/8/2020","INSTITUTO NACIONAL DE SALUD","BOGOTA","CV",775000,"CO","Colombia","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2GGH002072","GH16-1719, titled Global Emergency Response and Recovery Partner Engagement: Expanding Efforts and Strategies to Improve Rapid Response to Public Health Emergencies Globally","9/8/2020","International Federation of Red Cross Red Crescent Soci","GENEVA","CV",497261,"CH","Switzerland","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU66GH002172","Support and Capacity Building for Polio Eradication, Control of Other Vaccine Preventable Diseases, and Immunization Systems Strengthening in Africa.","9/8/2020","African Field Epidemology Network Limited AFENET -CDC","KAMPALA","CV",6e+05,"UG","Uganda","Other Social Services Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000041","Enhancing Global Health Security: Expanding Efforts and Strategies to Protect Diagnose and Improve Public Health in Ghana","9/5/2020","Center for Health Systems Str engthening","Kumasi","CV",382000,"GH","Ghana","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000061","Building and Strengthening Public Health Systems, Impact and Capacity in Indonesia","9/4/2020","Kementerian Kesehatan RI","JAKARTA","CV",1100000,"ID","Indonesia","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000025","Enhancing regional join field epidemiology training workforce capability to prevent, detect and response to transboundary emerging infectious diseases","9/4/2020","ASEAN PLUS FETN","MUANG","CV",150420,"TH","Thailand","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.283,"Centers for Disease Control and Prevention Investigations and Technical Assistance","NU50CK000495","Sustaining the Expansion of the Overseas Health Assessment and Management of U.S.-Bound Refugees, Non-Immigrant Visa Applicants and other Migrant Populations","9/3/2020","INTERNATIONAL ORGANIZATION FOR MIGRATION","GENEVA 19","CV",0,"CH","Switzerland","Other Special Interest Organization","Non-Profit Public Non-Government Organizations"
"CDC",93.283,"Centers for Disease Control and Prevention Investigations and Technical Assistance","NU50CK000495","Sustaining the Expansion of the Overseas Health Assessment and Management of U.S.-Bound Refugees, Non-Immigrant Visa Applicants and other Migrant Populations","9/3/2020","INTERNATIONAL ORGANIZATION FOR MIGRATION","GENEVA 19","C3",5365361,"CH","Switzerland","Other Special Interest Organization","Non-Profit Public Non-Government Organizations"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000057","Sustainable surveillance at scale: DHIS2 as a platform for improving global capacity to prevent, detect & respond to public health threats","9/3/2020","UNIVERSITETET I OSLO","OSLO","CV",1724000,"NO","Norway","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH002203","This projects aims at implementing Technical and Science Support Services (TSSS) in the Republic of Rwanda under PEPFAR whereby HIV, Laboratory and strategic information activities will be implemented","9/2/2020","Treatment & Research AIDS Center","KIGALI","CV",1255000,"RW","Rwanda, Republic of","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH001630","Strengthening Clincial and Laboratory Services at the national Referral Level to Improve HIV Prevention, Care, and Treatment in the Republic of Zambia under PEPAR","9/2/2020","University Teaching Hospital","LUSAKA","CV",0,"ZM","Zambia","Hospital","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001920","GH16-1670 Capacity Building and Strengthening Implementation of HIV Combination Prevention and Treatment Servi","9/2/2020","CTR FOR INFECTIOUS DISEASE RESCH IN ZAMBIA","MANKANTA CLOSE","CV",0,"ZM","Zambia","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.283,"Centers for Disease Control and Prevention Investigations and Technical Assistance","U01IP001074","Strengthening Evidence-based Advocacy for Influenza Prevention and Control in India.","9/1/2020","All India Institute of Medical Sciences","NEW DELHI","CV",703400,"IN","India","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002175","Assisting the Namibia Ministry of Health and Social Services to Achieve Epidemic Control under the President's Emergency Plan for AIDS Relief (PEPFAR)","9/1/2020","Ministry of Health & Social Services","WINDHOEK","CV",0,"NA","Namibia","Other Special Interest Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH001980","Programmatic Implementation and Technical Assistance (TA) for HIV/AIDS and","8/31/2020","Trust for Health Systems Planning and Development","DURBAN","CV",0,"ZA","South Africa, Union of","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000065","Protecting and Improving Public Health in Senegal:Building and strengthening Public Health Impact,Systems,Capacity and Security","8/31/2020","MINISTERE DE LA SANTE ET DE L'ACTION SOCIAL SENEGAL","Dakar","CV",580000,"SN","Senegal","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000072","In 2014, CDC started supporting the Government of Ethiopia to build Ethiopia's capacity to achieve the International Health Regulation (IHR) (2005) targets through implementing the Global Health Secur","8/31/2020","ETHIOPIAN PUBLIC HEALTH INSTITUTE","ETHIOPIA","CV",598375,"ET","Ethiopia","Research Institution, Foundation and Laboratory","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000066","Enhancing Global Health Security: Expanding Efforts and Strategies to Protect and Improve Public Health Globally","8/31/2020","National Institute of Health, Pakistan","ISLAMABAD","CV",1517000,"PK","Pakistan","Health Department","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000056","Support of Public Health Center of MOH of Ukraine to strengthen and build capacity of public health system for better monitoring, surveillance, response to outbreaks and disease prevention.","8/31/2020","Public Health Center of the Ministry of Health of Ukrai","KYIV","CV",1879500,"UA","Ukraine","Community Action Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002021","GH17-1723 Strengthening the National Institutes of Health in the Republic of Mozambique under the President's Emergency Plan for AIDS Relief (PEPFAR)","8/31/2020","National Institute of Health, Mozambique","MAPUTO","CV",0,"MZ","Mozambique","Health Department","State Government"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000076","Expanding Efforts and Strategies to Improve and Protect Public Health in Georgia","8/31/2020","L.SAKVARELIDZE NATL CTR FOR DISEASE CNTRL & PUBLIC HLTH","TBILISI","CV",2658000,"GE","Georgia","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000020","Strengthening Global Health Security Agenda In Nigeria (Secure-Nigeria)","8/30/2020","Institute of Human Virology","ABUJA","CV",4e+05,"NG","Nigeria","Research Institution, Foundation and Laboratory","Foreign Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000030","Global Health Security Partner Enhancement: Expanding Efforts and Strategies to Protect and Improve Public Health in Senegal","8/30/2020","INSTITUT DE RECHERCHE EN SANTE DE SURVEILLANCE EPIDEMIO","Dakar","CV",750000,"SN","Senegal","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000023","Strengthening Liberia's Capacity to Prevent, Detect and Respond to Disease Outbreaks and Decrease the Transmission of Epidemic Prone Diseases","8/30/2020","Ministry of Health of the Republic of Liberia","MONROVIA","CV",139421,"LR","Liberia","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000059","Guided by the NAPHS, this consortium led by CHPM will focus on addressing specific gaps and building specific capacities of the MoH to detect, prevent & respond to public health threats in Indonesia.","8/30/2020","CENTER FOR HEALTH POLICY AND MANAGEMENT","SLEMAN","CV",350000,"ID","Indonesia","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000015","Protecting and Improving Public Health Globally: Building and Strengthening Public Health Impact.","8/30/2020","Ministry of Health and Social Welfare","ZANZIBAR","CV",560000,"TZ","Tanzania","Health Department","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000022","Enhancing Global Health Security: Expanding Efforts and Strategies to Protect and Improve Public Health Globally","8/28/2020","Secretaria General SG-SICA COMISCA","ANTIGUO CUSCATLAN","CV",4710000,"SV","El Salvador","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.326,"Strengthening Public Health through Surveillance, Epidemiologic Research, Disease Detection and Prevention","U01GH002249","Advancing infectious disease and response in Senegal","8/28/2020","INSTITUT PASTEUR DE DAKAR","DAKAR","CV",650000,"SN","Senegal","Research Institution, Foundation and Laboratory","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000060","Enhancing Global Health Security: Expanding Efforts and Strategies to Protect and Improve Public Health Globally","8/28/2020","INTERNATIONAL CENTER FOR DIARRHOEAL DISEASE RESEARCH","DHAKA","CV",1750000,"BD","Bangladesh","Research Institution, Foundation and Laboratory","Foreign Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000067","Improving Public Health Globally: Strengthening Public Health Impact , Systems, Capacity, and Security in Sierra Leone","8/28/2020","Ministry of Health and Sanitation","FREETOWN","CV",459470,"SL","Sierra Leone","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002046","Accelerating Epidemic Control in 7 Districts of Mubende Region in the Republic of Uganda under the President's Emergency Plan for AIDS Relief (PEPFAR)","8/28/2020","Mildmay Uganda","KAMPALA","CV",250000,"UG","Uganda","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000026","Strengthening Field Epidemiology Training in Africa","8/28/2020","African Field Epidemology Network Limited AFENET -CDC","KAMPALA","CV",6786889,"UG","Uganda","Other Social Services Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002002","Procurement, Logistics Management, Warehousing, and Distribution of HIV/AIDS, TB-Related Commodities","8/28/2020","Medical Access Uganda Limited","KAMPALA","CV",412500,"UG","Uganda","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.326,"Strengthening Public Health through Surveillance, Epidemiologic Research, Disease Detection and Prevention","U01GH002248","ACUTE FEBRILE ILLNESS IN UGANDA","8/28/2020","INFECTIOUS DISEASES INSTITUTE AT MAKERERE UNIVERSITY","KAMPALA","CV",930000,"UG","Uganda","Research Institution, Foundation and Laboratory","Foreign Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002022","Accelerating epidemic control in Kampala region of Uganda through scale up of evidence based and high impact interventions towards achievement of UNAIDS 90:90:90 targets.","8/28/2020","INFECTIOUS DISEASES INSTITUTE AT MAKERERE UNIVERSITY","KAMPALA","CV",275000,"UG","Uganda","Research Institution, Foundation and Laboratory","Foreign Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000008","Enhancing Global Health Security: Expanding Efforts and Strategies to Protect and Improve Public Health Globally","8/28/2020","UNIVERSITY OF GHANA","LEGON","CV",1985000,"GH","Ghana","Junior College, College & University","Foreign Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001617","GH15-1600, Zambia: Strengthening the Zambia Ministry of Health Capacity to Provide Leadership to the National HIV/AIDS Response through Coordination, Policy Development, Mentorship and Training","8/28/2020","MINISTRY OF HEALTH","LUSAKA","CV",0,"ZM","Zambia","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000027","Technical Assistance to Ready and Accelerate Capacities of Public Health Programs in Kenya (TRACK)","8/28/2020","CIHEB-KENYA","NAIROBI","CV",250000,"KE","Kenya","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000042","Strengthening Regional Field Epidemiology Training Program (FETP) Networks","8/28/2020","SOUTH ASIA FIELD EPIDEMIOLOGY & TECH","QUEZON CITY","CV",2538000,"PH","Philippines","Junior College, College & University","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000075","Protecting and Improving Public Health Globally by Building and Strengthening Public Health Impact Sysem Capacity and Security in Cameroon","8/28/2020","DIRECTION OF DISEASE CONTROL, EPIDEMICS AND PANDEMICS","YAOUNDE","CV",250000,"CM","Cameroon","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002148","Provision of Comprehensive HIV Prevention, Care, Treatment, and Support Programs in the United Republic of Tanzania under the President's Emergency Plan for AIDS Relief (PEPFAR- Afya Kamilifu","8/26/2020","AMREF Tanzania","DAR ES SALAAM","CV",0,"TZ","Tanzania","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001980","Programmatic Implementation and Technical Assistance (TA) for HIV/AIDS and","8/26/2020","Trust for Health Systems Planning and Development","DURBAN","CV",0,"ZA","South Africa, Union of","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002027","Capacity Building, Strengthening Health and Strategic Information Systems, and Increasing Quality HIV/AIDS Services through Support Programs Conducted by the Government of Botswana under the President","8/26/2020","Government of Botswana Ministry of Finance","GABORONE","CV",0,"BW","Botswana","Other Special Interest Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001936","Prevention of Healthcare-Associated Tuberculosis Infection in Zimbabwe under PEPFAR","8/26/2020","Biomedical Research and Training Institute","HARARE","CV",0,"ZW","Zimbabwe","Research Institution, Foundation and Laboratory","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002009","Masaka Region Comprehensive HIV Program for Accelerated Epidemic Control","8/26/2020","Rakai Health Science Progrgam","KALISIZO","CV",50000,"UG","Uganda","Environmental Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH002111","Accelerating Epidemic Control in Fort Portal Region in the Republic of Uganda under the President's Emergency Plan for AIDS Relief (PEPFAR)","8/26/2020","BAYLOR COLLEGE OF MEDICINE CHILDRENS FDN - UGANDA","KAMPALA","CV",50000,"UG","Uganda","Junior College, College & University","Foreign Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001977","Advancing Community-based HIV Test, Linkage to and Retention in Care to Achieve Epidemic Control in Namibia","8/26/2020","D.A.P.P Namibia","OSHAKATI","CV",0,"NA","Namibia","Other Special Interest Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002174","Strengthen Brazil's Response to HIV and Other Infectious Diseases through Prevention, Treatment, Care, Laboratory, Strategic Information, and Epidemiology and Surveillance Activities(PEPFAR)","8/26/2020","FIOTEC","RIO DE JANEIRO","CV",0,"BR","Brazil","Research Institution, Foundation and Laboratory","Foreign Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001937","Reducing Nosocomial and Community-Acquired Tuberculosis by Strengthening the Capacity of the South African Department of Health to Improve Implementation of Infection Control and Waste Management","8/26/2020","Council for Scientific & Industrial Research","SILVERTON","CV",0,"ZA","South Africa, Union of","Research Institution, Foundation and Laboratory","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002066","Accelerating Epidemic Control in Soroti region in the Republic of Uganda under the President's Emergency Plan for AIDS Relief (PEPFAR)","8/26/2020","AIDS SUPPORT ORGANIZATION","UGANDA","CV",175000,"UG","Uganda","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001979","Strengthening HIV/AIDS, STI and TB Laboratory Services in the Namibian Institute of Pathology (NIP)","8/26/2020","Namibia Institute of pathology","WINDHOEK","CV",0,"NA","Namibia","Other Special Interest Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH001978","Assisting the Ministry of Health and Social Services (MOHSS) in Providing Critical Human Resources for Health to Achieve HIV Epidemic Control in Namibia under PEPFAR.","8/26/2020","Potentia Namibia Recruitment consultancy","WINDHOEK","CV",0,"NA","Namibia","Other Special Interest Organization","Foreign Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002147","AFYA KWANZA Project for Provision of Comprehensive HIV Prevention, Care, Treatment, and Support services in the United Republic of Tanzania","8/25/2020","Management and Development for Health","DAR ES SALAAM","CV",0,"TZ","Tanzania","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002308","Accelerating and Sustaining HIV Epidemic Control and Related Diseases in Western and West Nile Regions in the Republic of Uganda under the President's Emergency Plan for AIDS Relief (PEPFAR)","8/25/2020","BAYLOR COLLEGE OF MEDICINE CHILDRENS FDN - UGANDA","KAMPALA","CV",50000,"UG","Uganda","Junior College, College & University","Foreign Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000034","Strengthening Sustainability of Global Health Security Objectives in Sierra Leone","8/25/2020","African Field Epidemology Network Limited AFENET -CDC","KAMPALA","CV",1852906,"UG","Uganda","Other Social Services Organization","Foreign Non-Profit Organization"
