Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards
FAMILY VOICES OF MINNESOTA,965412625,STILLWATER,MN,55082,WASHINGTON,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"-$13,826"
"JOINTECHLABS, INC.",040986449,NORTH BARRINTON,IL,600106972,LAKE,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$218,969"
SPOT ON SCIENCES LLC,028640269,AUSTIN,TX,78753,TRAVIS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$225,000"
WEST FACE MEDICAL DEVICES INC,011613160,TRUCKEE,CA,96161,NEVADA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$3,889"
TOMOWAVE LABORATORIES INC,962126616,HOUSTON,TX,77021,HARRIS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,247,605"
"Poverty Solutions, Inc.",962322819,LOS ANGELES,CA,900102723,LOS ANGELES,United States of America,Other Special Interest Organization,Non-Profit Public Non-Government Organizations,"$800,000"
Vine and Village,004102353,LITTLE ROCK,AR,72204,PULASKI,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$682,176"
"BESSOR PHARMA, LLC",962728304,FRAMINGHAM,MA,017013880,MIDDLESEX,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,585,636"
"SAFERMED, LLC ",830989997,NEW YORK,NY,41002426057,NEW YORK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$149,953"
ETIOMETRY LLC,961840241,BOSTON,MA,02134,SUFFOLK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$4,984,273"
FLUID SYNCHRONY LLC,961837486,ALHAMBRA,CA,91801,LOS ANGELES,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,045,515"
"ALLIANCE FOR A HEALTHIER GENERATION, INC.",963333146,PORTLAND,OR,972142207,MULTNOMAH,United States of America,Other Social Services Organization,Non-Profit Public Non-Government Organizations,"$3,703,549"
LACELL LLC,962064635,BATON ROUGE,LA,70821,EAST BATON ROUGE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,227,530"
ALKEUS PHARMACEUTICALS INC,961845752,CAMBRIDGE,MA,02140,MIDDLESEX,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$3,085,665"
INTERNATIONAL INTELLIGENT INFORMATICS SOLUTION LABORATO,942724142,SEWICKLEY,PA,151438692,ALLEGHENY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,140,681"
MY COVERAGE PLAN INC,962034141,MADISON,WI,53703,DANE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$785,623"
"SERPLUS TECHNOLOGY, LLC",010286563,BELMONT,CA,940028206,SAN MATEO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$440,079"
CONFLUENCE LIFE SCIENCES INC,087470283,SAINT LOUIS,MO,63108,ST. LOUIS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$524,949"
CONFLUENCE LIFE SCIENCES INC,961930075,SAINT LOUIS,MO,63108,ST. LOUIS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,$0
"ADM DIAGNOSTICS, INC",961927808,NORTHBROOK,IL,600622845,COOK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$432,977"
BIOINVENU CORPORATION,965350338,MONTVILLE,NJ,07045,MORRIS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,191,549"
LUCERNA INC,961919508,NEW YORK,NY,10021,NEW YORK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$3,986,247"
GENENDEAVOR LLC,961957243,FREMONT,CA,945395628,ALAMEDA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$949,998"
ALLIANCE DISCOVERY INC.,962708579,DOYLESTOWN,PA,189028400,BUCKS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,611,182"
TRELLIS BIOSCIENCE LLC,962700048,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$18,187,909"
SCIOME LLC,962071515,RESEARCH TRIANGLE PARK,NC,277093169,DURHAM,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$436,900"
"RUBITECTION, INC.",031848818,PITTSBURGH,PA,152182015,ALLEGHENY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$221,415"
Native American Community Academy Foundation,078418889,Albuquerque,NM,87104,BERNALILLO,United States of America,Community Action Organization,Non-Profit Public Non-Government Organizations,"$755,505"
THE SULLIVAN ALLIANCE TO TRANSFORM THE HLTH PROFESSIONS,963494807,WASHINGTON,DC,20005,DISTRICT OF COLUMBIA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$875,303"
STRATEGIC PACING SYSTEMS LLC,961845067,FORT LEE,NJ,07024,BERGEN,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$158,680"
IMBED BIOSCIENCES INC,962084500,MADISON,WI,53705,DANE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,604,810"
"FAMILY TO FAMILY, INC, FAMILY VOICES INDIANA",005357734,GRANGER,IN,465309714,ST. JOSEPH,United States of America,Health Department,Non-Profit Private Non-Government Organizations,"$570,777"
"SAMDI TECH, INC.",962118134,CHICAGO,IL,606165074,COOK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,526,197"
CHARMTECH LABS LLC,807799924,CUPERTINO,CA,95014,SANTA CLARA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,626,559"
PERSONAL GENOME DIAGNOSTICS INC,963427120,BALTIMORE,MD,21224,**BALTIMORE CITY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$729,087"
EXTEND BIOSCIENCES INC,963416420,CAMBRIDGE,MA,02139,MIDDLESEX,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$8,734,946"
XYKEN LLC,962171851,VIENNA,VA,22182,FAIRFAX,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$6,068,539"
INHIBRX LP,040859583,LA JOLLA,CA,92037,SAN DIEGO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$395,611"
"Sustainable Workplace Alliance Inc, The",962675794,Lake Wales,FL,338533713,POLK,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$530,513"
"Black Men's Xchange-National, Inc.",928585355,BALTIMORE,GA,212026705,FULTON,United States of America,Other Special Interest Organization,Non-Profit Public Non-Government Organizations,$0
"Black Men's Xchange-National, Inc.",962353269,BALTIMORE,GA,212026705,FULTON,United States of America,Other Special Interest Organization,Non-Profit Public Non-Government Organizations,"$1,100,000"
"DIASCOPIC, LLC",964504356,CLEVELAND,OH,441123601,CUYAHOGA,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$225,000"
OMID MULTICULTURAL INSTITUTE FOR DEVELOPMENT,072002431,IRVINE,CA,926121022,ORANGE,United States of America,Other Social Services Organization,Non-Profit Public Non-Government Organizations,"$1,000,000"
VHS of Michigan,131258691,DETROIT,MI,482012018,WAYNE,United States of America,Welfare Department,State Government,"$5,907,744"
FAMILY BRIDGES,962377003,OAKBROOK TERRACE,IL,60181,DU PAGE,United States of America,Other Special Interest Organization,Non-Profit Public Non-Government Organizations,"$10,250,000"
"TRANSPARENCY LIFE SCIENCES, LLC",078467154,NEW YORK,NY,100237430,NEW YORK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,-$594
MOUNTAINPASS TECHNOLOGY LLC,078733869,CHEVY CHASE,MD,208157007,MONTGOMERY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,195,492"
IS3D LLC,962363409,ATHENS,GA,30601,CLARKE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,670,515"
"AXONIS, INC.",117031931,Cambridge,MA,02139,MIDDLESEX,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$330,619"
"NH Children`s Trust, Inc.",104201111,CONCORD,NH,03301,MERRIMACK,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$1,267,793"
ZANSORS,962122052,MCLEAN,VA,221021602,FAIRFAX,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,166,003"
Educare DC,078374471,Washington,DC,200191509,DISTRICT OF COLUMBIA,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$13,170,278"
"Lucira Health, Inc.",962428368,EMERYVILLE,CA,94608,ALAMEDA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$4,196,695"
GIGAGEN INC,963285189,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$7,046,420"
MATERNA MEDICAL,828575832,MOUNTAIN VIEW,CA,94040,SAN FRANCISCO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,174,954"
"NORTH CAROLINA HEALTHCARE QUALITY ALLIANCE, INC.",965349397,RALEIGH,NC,276286624,WAKE,United States of America,Other Social Services Organization,State Government,"$1,200,000"
INTELLIWHEELS INC,963409037,CHAMPAIGN,IL,61820,CHAMPAIGN,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$646,854"
ARISAN THERAPEUTICS INC,962535782,SAN DIEGO,CA,92121,SAN DIEGO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$7,550,000"
CHILDREN`S ADVOCACY CENTERS OF MISSISSIPPI,968577424,JACKSON,MS,392965348,HINDS,United States of America,Other Special Interest Organization,Non-Profit Public Non-Government Organizations,"$936,713"
DELPHINUS MEDICAL TECHNOLOGIES INC,963425017,PLYMOUTH,MI,48170,WAYNE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$3,796,497"
EXOCYTRONICS LLC,962526286,COLUMBIA,MO,65211,BOONE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,339,317"
XCELL SCIENCE INC,034456180,NOVATO,CA,94947,MARIN,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,430,122"
URBAN COALITION FOR HIV/AIDS PREVENTION SERVICES (UCHAP,078866199,WASHINGTON,DC,200012271,DISTRICT OF COLUMBIA,United States of America,Other Educational Organization,Non-Profit Public Non-Government Organizations,"$1,825,242"
SOLINAS MEDICAL INC.,962898792,SANTA CLARA,CA,95054,SANTA CLARA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,$0
"INSILICO, INC.",034449576,EUGENE,OR,97405,LANE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$211,668"
RIVANNA MEDICAL LLC,962721333,CROZET,VA,22932,ALBEMARLE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$4,208,915"
LODESPIN LABS LLC,962761842,SEATTLE,WA,98103,KING,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,$0
"Promise Resource Network, Inc",041529925,Charlotte,NC,282052915,MECKLENBURG,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$189,062"
ALGOMEDIX INC,961842429,MILL CREEK,WA,98012,SNOHOMISH,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,294,273"
BRAZOS VALLEY CENTER FOR INDEPENDENT LIVING,962546177,BRYAN,TX,778023453,BRAZOS,United States of America,Other Social Services Organization,Non-Profit Private Non-Government Organizations,"$2,408,747"
MEDISYNERGICS LLC,013312477,BRISTOL,CT,06010,HARTFORD,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$599,995"
INTERNATIONAL EOSINOPHIL SOCIETY INC,969696645,MILWAUKEE,WI,53202,MILWAUKEE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$33,000"
CELL MICROSYSTEMS INC,962655853,CHAPEL HILL,NC,27514,ORANGE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$9,590,603"
"QUANTITATIVE BIOSCIENCES, INC.",962670126,SOLANA BEACH,CA,920752061,SAN DIEGO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$162,205"
CROSSLIFE TECHNOLOGIES INC.,041375710,SAN MARCOS,CA,920789813,SAN DIEGO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$7,403,093"
"BATTENKILL VALLEY HEALTH CENTER, INC",963378257,ARLINGTON,VT,052504457,BENNINGTON,United States of America,Health Department,Non-Profit Private Non-Government Organizations,"$9,688,451"
INDEPENDENT MARYLANDERS ACHIEVING GROWTH THROUGH EMPOWE,962701459,TOWSON,MD,212863004,BALTIMORE,United States of America,Other Social Services Organization,Non-Profit Private Non-Government Organizations,"$2,005,788"
THINK NOW INCORPORATED,034920117,SAN FRANCISCO,CA,94105,SAN FRANCISCO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$3,922,286"
VENATORX PHARMACEUTICALS INC,962754037,MALVERN,PA,19355,CHESTER,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$28,127,422"
"PRIVO TECHNOLOGIES, LLC",963247924,CAMBRIDGE,MA,021411907,MIDDLESEX,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$8,822,925"
"INNOVATION PATHWAYS, LLC",966788288,PALO ALTO,CA,943012223,SANTA CLARA,United States of America,Welfare Department,State Government,"$600,000"
Coastal Coalition for Substance Abuse Prevention (CCSAP,967231775,NEW BERN,NC,28560,CRAVEN,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$101,126"
PROPEL ORTHODONTICS LLC,062805389,OSSINING,NY,105626103,WESTCHESTER,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$224,139"
INSTITUTE FOR RARE & NEGLECTED DISEASES DRUG DISCOVERY,027745696,BELMONT,CA,94002,SAN MATEO,United States of America,"Research Institution, Foundation and Laboratory",Private Profit ( Small Business ) Organizations,"$306,699"
"VHS Childrens Hospital of Michigan, Inc",076377316,NASHVILLE,TN,37215,DAVIDSON,United States of America,Hospital,Non-Profit Private Non-Government Organizations,"$77,044,969"
CELL BIOLOGICS INC,003736377,CHICAGO,IL,60612,COOK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,647,290"
REGIONAL HEALTH CARE NETWORK,078716957,CHILDERSBURG,AL,35044,TALLADEGA,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"$298,339"
EPIGEN BIOSCIENCES INC,963248807,SAN DIEGO,CA,92121,SAN DIEGO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$9,270,214"
ABZYME THERAPEUTICS LLC,962964990,MALVERN,PA,19355,CHESTER,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$3,651,377"
"NEW JERSEY MEDICAL AND HEALTH ASSOCIATES, LLC",012219053,JERSEY CITY,NJ,073024934,HUDSON,United States of America,Other Health Organization,Private Profit ( Large Business ) Organizations,"$4,039,445"
Paskenta Band of Nomlaki Indians,029277238,ORLAND,CA,95963,GLENN,United States of America,Indian Tribal Council,"Other (Towns, Villages, American Indian Tribes)","$1,896,740"
KNOPP BIOSCIENCES LLC,966839255,PITTSBURGH,PA,152031942,ALLEGHENY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$3,968,952"
"MENOGENIX, INC.",061388321,AURORA,CO,800457336,ADAMS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,188,027"
KAREN ORGANIZATION OF SAN DIEGO,068671383,SAN DIEGO,CA,92122,SAN DIEGO,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$432,207"
CUROVERSE INC,963156604,BOSTON,MA,02210,SUFFOLK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,135,286"
ELEVATE ORAL CARE LLC,002863526,WEST PALM BEACH,FL,33414,PALM BEACH,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$123,961"
RIO PHARMACEUTICALS INC,963155044,SAN FRANCISCO,CA,94110,SAN FRANCISCO,United States of America,Welfare Department,State Government,"$225,000"
NUTRASORB LLC,032588489,MANALAPAN,NJ,07726,MONMOUTH,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$212,096"
"SILVER CREEK PHARMACEUTICALS, INC.",049190741,SAN FRANCISCO,CA,941582509,SAN FRANCISCO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$221,242"
KINETIC RIVER CORP.,033459840,MOUNTAIN VIEW,CA,940432357,SANTA CLARA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,162,774"
Colorado Early Education Network,963215293,GREELEY,CO,80631,WELD,United States of America,Other Educational Organization,Non-Profit Public Non-Government Organizations,"$33,460,819"
RETINAL SOLUTIONS LLC,081371240,ANN ARBOR,MI,481038799,WASHTENAW,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$227,051"
"CIRCA BIOSCIENCE, LLC",964241173,GREENWOOD,SC,296499534,GREENWOOD,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,155,917"
Pars Equality Center,008090178,MENLO PARK,CA,94026,SAN MATEO,United States of America,Other Social Services Organization,Non-Profit Public Non-Government Organizations,"$2,822,384"
WELL BEING DEVELOPMENT,079555486,ELY,MN,557311337,ST. LOUIS,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"$1,395,822"
CYPRIS LLC,965190239,SOUTH LYON,MI,48178,OAKLAND,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,$0
WISCONSIN INSTITUTE FOR HEALTHY AGING,078471101,MADISON,WI,537141318,DANE,United States of America,Other Social Services Organization,Non-Profit Private Non-Government Organizations,"$2,311,625"
"SYNTHETIC GENOMICS VACCINES, INC.",964634245,LA JOLLA,CA,920371031,SAN DIEGO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$387,632"
COARE BIOTECHNOLOGY INC,963335570,OKLAHOMA CITY,OK,73104,OKLAHOMA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,449,535"
OPTOFLUIDICS INC,963268151,PHILADELPHIA,PA,19104,PHILADELPHIA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,312,125"
Unified Prevention Coalition of Fairfax County,967302014,VIENNA,VA,22181,FAIRFAX,United States of America,Other Special Interest Organization,State Government,"$48,258"
TRUMBULL NEIGHBORHOOD PARTNERSHIP,963571117,WARREN,OH,444811104,TRUMBULL,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$225,000"
RXFUNCTION INC,963353821,MINNEAPOLIS,MN,55407,HENNEPIN,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,$0
HIGH COUNTRY COMMUNITY HEALTH,963717389,BOONE,NC,286077085,WATAUGA,United States of America,Health Department,Non-Profit Private Non-Government Organizations,"$13,267,840"
California Telehealth Network,965706349,SACRAMENTO,CA,95811,SACRAMENTO,United States of America,Health Department,Non-Profit Private Non-Government Organizations,"$2,861,211"
Marillac Community Health Centers,963385450,NEW ORLEANS,LA,701184307,ORLEANS,United States of America,Health Department,Non-Profit Private Non-Government Organizations,"$24,958,655"
"VISIONARY PHARMACEUTICALS, INC.",963400762,SAN DIEGO,CA,921225921,SAN DIEGO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,567,877"
"SYNERGYS BIOTHERAPEUTICS, INC",963375048,WALNUT CREEK,CA,945952347,CONTRA COSTA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$600,000"
"Elaine Ellis Center of Health, Inc",963375030,CHELTENHAM,MD,206231329,PRINCE GEORGE'S,United States of America,Health Department,Non-Profit Private Non-Government Organizations,"$17,824,581"
eHealth & Information Systems Africa,965570331,SANTA ANA,CA,927051958,ORANGE,United States of America,Other Health Organization,Non-Profit Public Non-Government Organizations,"$19,359,328"
AZYP LLC,963333039,ARLINGTON,TX,76019,TARRANT,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$972,200"
CalOptima Foundation,963350207,ORANGE,CA,928684231,ORANGE,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,$0
"WAYBETTER, INC",029691303,NEW YORK,NY,10011,NEW YORK,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$644,231"
BIGHORN VALLEY HEALTH CENTER,963704577,HARDIN,MT,590340408,BIG HORN,United States of America,Health Department,Non-Profit Private Non-Government Organizations,"$35,869,716"
IFIT PROSTETICS LLC,617510149,BROOKFIELD,WI,53045,WAUKESHA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$3,843,045"
RGENIX INC,965188084,BROOKLYN,NY,11226,KINGS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,635,685"
Iraqi American Society for Peace and Friendship,030802261,PHOENIX,AZ,85015,MARICOPA,United States of America,Community Action Organization,Non-Profit Public Non-Government Organizations,"$81,650"
Native American Cmty Development Corp Financial Svs Inc,078327127,BROWNING,MT,594173029,GLACIER,United States of America,Other Special Interest Organization,Non-Profit Public Non-Government Organizations,"$366,175"
"BANYAN COMMUNITY HEALTH CENTER, INC",964231919,MIAMI,FL,331617182,,United States of America,Health Department,Non-Profit Private Non-Government Organizations,"$8,902,246"
"BDOTE Learning Center, Inc.",078831194,MINNEAPOLIS,MN,554062028,HENNEPIN,United States of America,Other Educational Organization,Non-Profit Public Non-Government Organizations,"$2,057,280"
"Center of Rural Health Innovation,The",037171256,BAKERSVILLE,NC,287051375,MITCHELL,United States of America,Health Department,Non-Profit Private Non-Government Organizations,"-$500,000"
HOMELESS YOUTH CONNECTION INC,042628309,AVONDALE,AZ,853235713,MARICOPA,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$617,278"
Neighborhood Outreach Access to Health,965381424,SCOTTSDALE,AZ,852515622,MARICOPA,United States of America,Health Department,Non-Profit Private Non-Government Organizations,"$17,164,625"
Mental Health America of the Triangle,179581293,DURHAM,NC,27705,DURHAM,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$39,070"
"DELAWARE FAMILY VOICES, INC",965286755,WILMINGTON,DE,198103323,NEW CASTLE,United States of America,Health Department,Non-Profit Private Non-Government Organizations,"$570,780"
"ENBIOTIX, INC.",079164418,BOSTON,MA,021183406,SUFFOLK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$259,166"
"Tocol Pharmaceuticals, LLC",042986776,LITTLE ROCK,AR,722052628,PULASKI,United States of America,"Research Institution, Foundation and Laboratory",Private Profit ( Large Business ) Organizations,"$40,000"
"Center for Disease Dynamics, Economics & Policy",965400026,WASHINGTON,DC,200056504,DISTRICT OF COLUMBIA,United States of America,"Research Institution, Foundation and Laboratory",International ( U.S. & Foreign OR Two/More Foreign Organizations ),"$3,146,137"
KANNALIFE SCIENCES INC.,968773643,LLOYD HARBOR,NY,11743,SUFFOLK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$299,916"
Bartz-Altadonna Community Health Center,965016087,LANCASTER,CA,935343105,LOS ANGELES,United States of America,Hospital,State Government,"$12,631,509"
Sust Aina Ble Molokai,967698684,KAUNAKAKAI,HI,967480250,MAUI,United States of America,Other Social Services Organization,Non-Profit Public Non-Government Organizations,"$719,061"
"Northeast Neighborhood Partners,, Inc.",078483743,HARTFORD,CT,06103,HARTFORD,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$800,000"
INFINITESIMAL LLC,963953844,WINNETKA,IL,60093,COOK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,149,468"
SANCTUARY OF HOPE,965037034,LOS ANGELES,CA,900431038,LOS ANGELES,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$633,708"
HealthLinkNow Inc,041376326,SACRAMENTO,CA,958193622,SACRAMENTO,United States of America,Welfare Department,State Government,"-$1,973,184"
NICOLALDE R&D LLC,963949107,EAST THETFORD,VT,05043,ORANGE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$128,393"
VOXELERON LLC,040871521,PLEASANTON,CA,945888430,ALAMEDA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$222,991"
